item_id,order_id,product_name,quantity,unit_price,total_price
OI20250305001,SO20250305,高性能服务器,40,10000.00,400000.00
OI20250305002,SO20250305,网络存储设备,15,10000.00,150000.00
OI20250510001,SO20250510,数据库服务器,30,12000.00,360000.00
OI20250510002,SO20250510,网络安全设备,20,18000.00,360000.00
OI20251020001,SO20251020,云计算服务器,50,15000.00,750000.00
OI20251020002,SO20251020,负载均衡器,25,14000.00,350000.00
OI20251030001,SO20251030,边缘计算设备,35,12000.00,420000.00
OI20251030002,SO20251030,网络交换机,23,10000.00,230000.00
OI20251110001,SO20251110,AI计算服务器,20,25000.00,500000.00
OI20251110002,SO20251110,高速存储阵列,16,20000.00,320000.00
OI20251115001,SO20251115,虚拟化服务器,28,15000.00,420000.00
OI20251115002,SO20251115,备份系统,7,20000.00,140000.00
